名稱,縣市,緯度,經度,is_indoor,設施類型,最近測站,測站AQI,距離(km),風險等級
四張犁國民小學（操場）,臺中市北屯區,24.195039,120.662753,False,室外,臺灣大道,38,4.06,Normal
龍泉國小操場,臺中市龍井區,24.195841,120.547464,False,室外,沙鹿,35,3.96,Normal
四民里仁和里仁美里同榮里聯合活動中心室內、室外,臺中市北屯區,24.196262,120.680523,True,室內,臺灣大道,38,4.81,Normal
頭家國小-多功能教室,臺中市潭子區,24.197026,120.696224,True,室內,臺灣大道,38,5.83,Normal
泰安國小（育才堂、操場）,臺中市西屯區,24.197845,120.648858,False,室外,臺灣大道,38,4.4,Normal
頭家里/頭家東里活動中心,臺中市潭子區,24.197913,120.699067,True,室內,臺灣大道,38,6.11,Normal
拍瀑拉水裡社公園,臺中市龍井區,24.198537,120.562822,False,室外,沙鹿,35,3.07,Normal
龍港國小操場,臺中市龍井區,24.198733,120.500933,False,室外,沙鹿,35,7.5,Normal
大坑國小1.2樓教室、操場,臺中市北屯區,24.1988,120.7607,False,室外,豐原,22,6.73,Normal
水裡港文化館,臺中市龍井區,24.200778,120.498444,True,室內,沙鹿,35,7.65,Normal
龍津國小操場、綜合教學大樓,臺中市龍井區,24.201067,120.521677,False,室外,沙鹿,35,5.5,Normal
潭陽社區活動中心,臺中市潭子區,24.201197,120.703471,True,室內,臺灣大道,38,6.68,Normal
麗水社區活動中心,臺中市龍井區,24.2022,120.5011,True,室內,沙鹿,35,7.34,Normal
臺中市東勢區慶東社區活動中心,臺中市東勢區,24.2023,120.8422,True,室內,豐原,22,11.8,Normal
僑忠國小-體育館,臺中市潭子區,24.202497,120.70371,True,室內,臺灣大道,38,6.8,Normal
新興國小-專科教室,臺中市潭子區,24.203989,120.725525,True,室內,豐原,22,6.14,Normal
龍津國中操場,臺中市龍井區,24.204522,120.521049,False,室外,沙鹿,35,5.38,Normal
臺中市東勢區東華國中教室,臺中市東勢區,24.2054,120.8397,True,室內,豐原,22,11.4,Normal
東興國小（一樓課照教室）,臺中市新社區,24.206154,120.820101,True,室內,豐原,22,9.69,Normal
臺中市東勢區成功國小,臺中市東勢區,24.208311,120.839784,True,室內,豐原,22,11.25,Normal
潭子國中-活動中心,臺中市潭子區,24.210191,120.70836,True,室內,豐原,22,6.25,Normal
榮興村辦公處,南投縣仁愛鄉,24.210441,121.300253,True,室內,花蓮,26,40.39,Normal
潭子區運動公園,臺中市潭子區,24.21106,120.700706,False,室外,豐原,22,6.64,Normal
臺中市大雅區三和公園,臺中市大雅區,24.211845,120.665252,False,室外,臺灣大道,38,5.95,Normal
臺中市大雅區大明國小活動中心,臺中市大雅區,24.2128,120.6499,True,室內,臺灣大道,38,6.03,Normal
潭陽國小-業勤樓,臺中市潭子區,24.213042,120.710128,True,室內,豐原,22,5.89,Normal
合作國小,臺中市豐原區,24.2131,120.5581,True,室內,沙鹿,35,1.77,Normal
潭北社區活動中心,臺中市潭子區,24.2141,120.7089,True,室內,豐原,22,5.86,Normal
山腳社區活動中心,臺中市龍井區,24.214287,120.549368,True,室內,沙鹿,35,2.34,Normal
東寶國小-綜合教室,臺中市潭子區,24.214805,120.67952,True,室內,臺灣大道,38,6.63,Normal
忠和社區活動中心,臺中市龍井區,24.21486,120.524048,True,室內,沙鹿,35,4.69,Normal
新田社區活動中心,臺中市潭子區,24.214974,120.723225,True,室內,豐原,22,5.07,Normal
潭秀社區活動中心,臺中市潭子區,24.215286,120.703871,True,室內,豐原,22,6.07,Normal
潭子國小-圖書室,臺中市潭子區,24.215893,120.705361,True,室內,豐原,22,5.92,Normal
龍海國小操場,臺中市龍井區,24.215956,120.526677,False,室外,沙鹿,35,4.4,Normal
臺中市立大華國中地下室,臺中市大雅區,24.2161,120.6496,True,室內,臺灣大道,38,6.4,Normal
臺中市大雅區西寶社區活動中心,臺中市大雅區,24.2161,120.668,True,室內,臺灣大道,38,6.46,Normal
潭秀國中-體育館,臺中市潭子區,24.216172,120.699522,True,室內,豐原,22,6.29,Normal
臺中市北勢國小禮堂,臺中市沙鹿區,24.216935,120.571552,True,室內,沙鹿,35,1.01,Normal
南勢社區活動中心,臺中市沙鹿區,24.217386,120.567801,True,室內,沙鹿,35,0.92,Normal
南陽國小,臺中市豐原區,24.2187,120.5677,True,室內,沙鹿,35,0.78,Normal
臺中市東勢區上城社區活動中心,臺中市東勢區,24.2188,120.84,True,室內,豐原,22,10.76,Normal
馬力埔社區活動中心,臺中市新社區,24.218895,120.792343,True,室內,豐原,22,6.59,Normal
臺中市大雅區文雅國小地下室,臺中市大雅區,24.2195,120.6461,True,室內,臺灣大道,38,6.82,Normal
臺中市大雅區三和國小體育館,臺中市大雅區,24.2199,120.6667,True,室內,臺灣大道,38,6.86,Normal
臺中市東勢區下城社區活動中心,臺中市東勢區,24.219995,120.836657,True,室內,豐原,22,10.39,Normal
臺中市大雅區陽明國小1樓教室,臺中市大雅區,24.2213,120.632,True,室內,沙鹿,35,6.43,Normal
臺中市東勢區新成國小禮堂,臺中市東勢區,24.2213,120.8394,True,室內,豐原,22,10.59,Normal
六路社區活動中心,臺中市沙鹿區,24.221573,120.578484,True,室內,沙鹿,35,1.08,Normal
臺中市大雅區大雅國小體育館,臺中市大雅區,24.2222,120.6503,True,室內,臺灣大道,38,7.07,Normal
晉江社區活動中心,臺中市沙鹿區,24.222652,120.580577,True,室內,沙鹿,35,1.24,Normal
臺中市立大雅國中體育館,臺中市大雅區,24.2241,120.6504,True,室內,臺灣大道,38,7.28,Normal
福興社區活動中心,臺中市沙鹿區,24.224608,120.567398,True,室內,沙鹿,35,0.18,Normal
北勢社區活動中心,臺中市沙鹿區,24.224819,120.571125,True,室內,沙鹿,35,0.25,Normal
臺中市北勢國中禮堂,臺中市沙鹿區,24.225175,120.569209,True,室內,沙鹿,35,0.07,Normal
北勢國民中學操場,臺中市沙鹿區,24.225175,120.569209,False,室外,沙鹿,35,0.07,Normal
停四雅楓停車場,臺中市大雅區,24.225474,120.656843,False,室外,臺灣大道,38,7.4,Normal
斗抵社區活動中心,臺中市沙鹿區,24.22585,120.554569,True,室內,沙鹿,35,1.44,Normal
鎌村里活動中心,臺中市豐原區,24.2262,120.7299,True,室內,豐原,22,3.66,Normal
大南國小（多功能教室）,臺中市新社區,24.226742,120.804693,True,室內,豐原,22,7.14,Normal
臺中市大雅區上雅社區活動中心,臺中市大雅區,24.2281,120.6509,True,室內,臺灣大道,38,7.72,Normal
臺中市新社區公所,臺中市新社區,24.2282,120.8122,True,室內,豐原,22,7.76,Normal
臺中市大雅區公所,臺中市大雅區,24.2289,120.6478,True,室內,臺灣大道,38,7.84,Normal
